Date,Count
2001-01-01,296
2001-01-02,143
2001-01-03,165
2001-01-04,173
2001-01-05,178
2001-01-06,237
2001-01-07,218
2001-01-08,192
2001-01-09,212
2001-01-10,199
2001-01-11,222
2001-01-12,239
2001-01-13,251
2001-01-14,249
2001-01-15,203
2001-01-16,219
2001-01-17,205
2001-01-18,232
2001-01-19,200
2001-01-20,239
2001-01-21,222
2001-01-22,181
2001-01-23,208
2001-01-24,181
2001-01-25,184
2001-01-26,206
2001-01-27,233
2001-01-28,217
2001-01-29,215
2001-01-30,210
2001-01-31,198
2001-02-01,205
2001-02-02,206
2001-02-03,199
2001-02-04,257
2001-02-05,219
2001-02-06,219
2001-02-07,182
2001-02-08,239
2001-02-09,211
2001-02-10,212
2001-02-11,221
2001-02-12,201
2001-02-13,211
2001-02-14,173
2001-02-15,222
2001-02-16,222
2001-02-17,229
2001-02-18,242
2001-02-19,179
2001-02-20,225
2001-02-21,195
2001-02-22,196
2001-02-23,219
2001-02-24,239
2001-02-25,252
2001-02-26,236
2001-02-27,216
2001-02-28,214
2001-03-01,238
2001-03-02,257
2001-03-03,270
2001-03-04,258
2001-03-05,184
2001-03-06,234
2001-03-07,247
2001-03-08,252
2001-03-09,250
2001-03-10,269
2001-03-11,267
2001-03-12,246
2001-03-13,217
2001-03-14,246
2001-03-15,230
2001-03-16,240
2001-03-17,219
2001-03-18,279
2001-03-19,240
2001-03-20,266
2001-03-21,274
2001-03-22,238
2001-03-23,271
2001-03-24,253
2001-03-25,202
2001-03-26,216
2001-03-27,245
2001-03-28,264
2001-03-29,267
2001-03-30,240
2001-03-31,283
2001-04-01,271
2001-04-02,244
2001-04-03,248
2001-04-04,256
2001-04-05,256
2001-04-06,285
2001-04-07,324
2001-04-08,342
2001-04-09,242
2001-04-10,230
2001-04-11,244
2001-04-12,305
2001-04-13,252
2001-04-14,320
2001-04-15,282
2001-04-16,189
2001-04-17,175
2001-04-18,249
2001-04-19,252
2001-04-20,299
2001-04-21,344
2001-04-22,385
2001-04-23,245
2001-04-24,261
2001-04-25,280
2001-04-26,283
2001-04-27,306
2001-04-28,271
2001-04-29,367
2001-04-30,321
2001-05-01,301
2001-05-02,327
2001-05-03,351
2001-05-04,318
2001-05-05,326
2001-05-06,317
2001-05-07,250
2001-05-08,289
2001-05-09,325
2001-05-10,302
2001-05-11,246
2001-05-12,261
2001-05-13,302
2001-05-14,249
2001-05-15,301
2001-05-16,312
2001-05-17,304
2001-05-18,281
2001-05-19,305
2001-05-20,326
2001-05-21,325
2001-05-22,218
2001-05-23,247
2001-05-24,240
2001-05-25,234
2001-05-26,255
2001-05-27,243
2001-05-28,353
2001-05-29,282
2001-05-30,247
2001-05-31,250
2001-06-01,242
2001-06-02,273
2001-06-03,250
2001-06-04,206
2001-06-05,194
2001-06-06,236
2001-06-07,256
2001-06-08,282
2001-06-09,335
2001-06-10,388
2001-06-11,281
2001-06-12,329
2001-06-13,342
2001-06-14,309
2001-06-15,263
2001-06-16,390
2001-06-17,423
2001-06-18,298
2001-06-19,278
2001-06-20,268
2001-06-21,250
2001-06-22,259
2001-06-23,300
2001-06-24,318
2001-06-25,273
2001-06-26,271
2001-06-27,286
2001-06-28,283
2001-06-29,308
2001-06-30,367
2001-07-01,341
2001-07-02,230
2001-07-03,278
2001-07-04,390
2001-07-05,311
2001-07-06,270
2001-07-07,324
2001-07-08,341
2001-07-09,266
2001-07-10,267
2001-07-11,248
2001-07-12,266
2001-07-13,294
2001-07-14,333
2001-07-15,358
2001-07-16,295
2001-07-17,243
2001-07-18,267
2001-07-19,271
2001-07-20,291
2001-07-21,380
2001-07-22,331
2001-07-23,258
2001-07-24,287
2001-07-25,247
2001-07-26,254
2001-07-27,263
2001-07-28,345
2001-07-29,366
2001-07-30,234
2001-07-31,264
2001-08-01,258
2001-08-02,259
2001-08-03,250
2001-08-04,389
2001-08-05,366
2001-08-06,270
2001-08-07,288
2001-08-08,287
2001-08-09,260
2001-08-10,256
2001-08-11,330
2001-08-12,347
2001-08-13,234
2001-08-14,243
2001-08-15,258
2001-08-16,233
2001-08-17,227
2001-08-18,261
2001-08-19,264
2001-08-20,264
2001-08-21,214
2001-08-22,240
2001-08-23,239
2001-08-24,261
2001-08-25,285
2001-08-26,319
2001-08-27,285
2001-08-28,236
2001-08-29,270
2001-08-30,247
2001-08-31,228
2001-09-01,295
2001-09-02,300
2001-09-03,315
2001-09-04,237
2001-09-05,211
2001-09-06,242
2001-09-07,290
2001-09-08,368
2001-09-09,279
2001-09-10,226
2001-09-11,306
2001-09-12,248
2001-09-13,234
2001-09-14,253
2001-09-15,306
2001-09-16,306
2001-09-17,237
2001-09-18,256
2001-09-19,215
2001-09-20,247
2001-09-21,284
2001-09-22,307
2001-09-23,264
2001-09-24,191
2001-09-25,211
2001-09-26,251
2001-09-27,277
2001-09-28,256
2001-09-29,295
2001-09-30,305
2001-10-01,261
2001-10-02,294
2001-10-03,279
2001-10-04,236
2001-10-05,215
2001-10-06,286
2001-10-07,268
2001-10-08,256
2001-10-09,279
2001-10-10,237
2001-10-11,265
2001-10-12,246
2001-10-13,247
2001-10-14,253
2001-10-15,222
2001-10-16,222
2001-10-17,240
2001-10-18,258
2001-10-19,281
2001-10-20,316
2001-10-21,338
2001-10-22,271
2001-10-23,256
2001-10-24,237
2001-10-25,190
2001-10-26,253
2001-10-27,259
2001-10-28,262
2001-10-29,236
2001-10-30,233
2001-10-31,315
2001-11-01,272
2001-11-02,287
2001-11-03,267
2001-11-04,297
2001-11-05,233
2001-11-06,253
2001-11-07,263
2001-11-08,208
2001-11-09,205
2001-11-10,240
2001-11-11,259
2001-11-12,194
2001-11-13,224
2001-11-14,209
2001-11-15,222
2001-11-16,257
2001-11-17,296
2001-11-18,293
2001-11-19,195
2001-11-20,207
2001-11-21,214
2001-11-22,251
2001-11-23,206
2001-11-24,259
2001-11-25,193
2001-11-26,232
2001-11-27,209
2001-11-28,210
2001-11-29,215
2001-11-30,230
2001-12-01,250
2001-12-02,237
2001-12-03,226
2001-12-04,238
2001-12-05,251
2001-12-06,237
2001-12-07,268
2001-12-08,229
2001-12-09,235
2001-12-10,188
2001-12-11,222
2001-12-12,223
2001-12-13,239
2001-12-14,269
2001-12-15,223
2001-12-16,245
2001-12-17,231
2001-12-18,219
2001-12-19,203
2001-12-20,178
2001-12-21,210
2001-12-22,236
2001-12-23,203
2001-12-24,145
2001-12-25,186
2001-12-26,140
2001-12-27,167
2001-12-28,170
2001-12-29,213
2001-12-30,192
2001-12-31,180
2002-01-01,345
2002-01-02,150
2002-01-03,166
2002-01-04,187
2002-01-05,205
2002-01-06,222
2002-01-07,182
2002-01-08,181
2002-01-09,224
2002-01-10,253
2002-01-11,232
2002-01-12,232
2002-01-13,223
2002-01-14,197
2002-01-15,231
2002-01-16,220
2002-01-17,162
2002-01-18,213
2002-01-19,228
2002-01-20,229
2002-01-21,182
2002-01-22,234
2002-01-23,237
2002-01-24,189
2002-01-25,239
2002-01-26,248
2002-01-27,306
2002-01-28,219
2002-01-29,214
2002-01-30,165
2002-01-31,185
2002-02-01,181
2002-02-02,217
2002-02-03,207
2002-02-04,194
2002-02-05,202
2002-02-06,208
2002-02-07,226
2002-02-08,236
2002-02-09,230
2002-02-10,200
2002-02-11,182
2002-02-12,191
2002-02-13,190
2002-02-14,206
2002-02-15,252
2002-02-16,222
2002-02-17,205
2002-02-18,170
2002-02-19,202
2002-02-20,202
2002-02-21,215
2002-02-22,200
2002-02-23,256
2002-02-24,258
2002-02-25,201
2002-02-26,185
2002-02-27,188
2002-02-28,199
2002-03-01,241
2002-03-02,206
2002-03-03,223
2002-03-04,152
2002-03-05,172
2002-03-06,197
2002-03-07,232
2002-03-08,275
2002-03-09,222
2002-03-10,215
2002-03-11,213
2002-03-12,230
2002-03-13,287
2002-03-14,302
2002-03-15,289
2002-03-16,244
2002-03-17,252
2002-03-18,216
2002-03-19,253
2002-03-20,203
2002-03-21,217
2002-03-22,223
2002-03-23,267
2002-03-24,244
2002-03-25,200
2002-03-26,216
2002-03-27,238
2002-03-28,298
2002-03-29,215
2002-03-30,267
2002-03-31,297
2002-04-01,242
2002-04-02,252
2002-04-03,255
2002-04-04,237
2002-04-05,286
2002-04-06,253
2002-04-07,208
2002-04-08,198
2002-04-09,248
2002-04-10,314
2002-04-11,318
2002-04-12,237
2002-04-13,263
2002-04-14,310
2002-04-15,306
2002-04-16,288
2002-04-17,292
2002-04-18,289
2002-04-19,245
2002-04-20,240
2002-04-21,232
2002-04-22,199
2002-04-23,212
2002-04-24,262
2002-04-25,213
2002-04-26,283
2002-04-27,268
2002-04-28,240
2002-04-29,274
2002-04-30,263
2002-05-01,246
2002-05-02,216
2002-05-03,270
2002-05-04,301
2002-05-05,323
2002-05-06,294
2002-05-07,266
2002-05-08,277
2002-05-09,260
2002-05-10,323
2002-05-11,259
2002-05-12,253
2002-05-13,279
2002-05-14,301
2002-05-15,316
2002-05-16,248
2002-05-17,270
2002-05-18,288
2002-05-19,276
