date,count
2006-01-01,551
2006-01-02,618
2006-01-03,899
2006-01-04,1229
2006-01-05,1383
2006-01-06,1248
2006-01-07,894
2006-01-08,636
2006-01-09,896
2006-01-10,1328
2006-01-11,1229
2006-01-12,1274
2006-01-13,1262
2006-01-14,853
2006-01-15,478
2006-01-16,711
2006-01-17,1134
2006-01-18,1192
2006-01-19,1312
2006-01-20,1088
2006-01-21,911
2006-01-22,705
2006-01-23,855
2006-01-24,1282
2006-01-25,1325
2006-01-26,1255
2006-01-27,1134
2006-01-28,968
2006-01-29,686
2006-01-30,815
2006-01-31,1000
2006-02-01,1355
2006-02-02,1364
2006-02-03,1296
2006-02-04,1006
2006-02-05,568
2006-02-06,871
2006-02-07,1301
2006-02-08,1436
2006-02-09,1335
2006-02-10,1185
2006-02-11,821
2006-02-12,233
2006-02-13,618
2006-02-14,917
2006-02-15,1376
2006-02-16,1393
2006-02-17,1243
2006-02-18,992
2006-02-19,649
2006-02-20,888
2006-02-21,1172
2006-02-22,1371
2006-02-23,1128
2006-02-24,1075
2006-02-25,888
2006-02-26,616
2006-02-27,835
2006-02-28,1025
2006-03-01,1375
2006-03-02,1112
2006-03-03,1240
2006-03-04,964
2006-03-05,720
2006-03-06,941
2006-03-07,1235
2006-03-08,1418
2006-03-09,1352
2006-03-10,1260
2006-03-11,1034
2006-03-12,634
2006-03-13,958
2006-03-14,1191
2006-03-15,1424
2006-03-16,1334
2006-03-17,976
2006-03-18,924
2006-03-19,680
2006-03-20,961
2006-03-21,1236
2006-03-22,1397
2006-03-23,1291
2006-03-24,1190
2006-03-25,931
2006-03-26,672
2006-03-27,830
2006-03-28,1190
2006-03-29,1334
2006-03-30,1200
2006-03-31,1006
2006-04-01,1014
2006-04-02,653
2006-04-03,825
2006-04-04,1259
2006-04-05,1422
2006-04-06,1323
2006-04-07,1233
2006-04-08,902
2006-04-09,741
2006-04-10,815
2006-04-11,1190
2006-04-12,1365
2006-04-13,1406
2006-04-14,1145
2006-04-15,860
2006-04-16,384
2006-04-17,780
2006-04-18,1146
2006-04-19,1299
2006-04-20,1275
2006-04-21,1060
2006-04-22,729
2006-04-23,595
2006-04-24,840
2006-04-25,1269
2006-04-26,1346
2006-04-27,1302
2006-04-28,1130
2006-04-29,771
2006-04-30,550
2006-05-01,910
2006-05-02,1293
2006-05-03,1402
2006-05-04,1299
2006-05-05,1132
2006-05-06,879
2006-05-07,663
2006-05-08,930
2006-05-09,1262
2006-05-10,1395
2006-05-11,1305
2006-05-12,1139
2006-05-13,938
2006-05-14,601
2006-05-15,852
2006-05-16,1181
2006-05-17,1368
2006-05-18,1214
2006-05-19,961
2006-05-20,915
2006-05-21,604
2006-05-22,847
2006-05-23,1289
2006-05-24,1375
2006-05-25,1334
2006-05-26,1070
2006-05-27,827
2006-05-28,589
2006-05-29,484
2006-05-30,1079
2006-05-31,1230
2006-06-01,1200
2006-06-02,1027
2006-06-03,825
2006-06-04,628
2006-06-05,898
2006-06-06,1230
2006-06-07,1123
2006-06-08,1268
2006-06-09,1256
2006-06-10,829
2006-06-11,748
2006-06-12,915
2006-06-13,1249
2006-06-14,1296
2006-06-15,1268
2006-06-16,1186
2006-06-17,926
2006-06-18,438
2006-06-19,834
2006-06-20,1231
2006-06-21,1362
2006-06-22,1261
2006-06-23,1097
2006-06-24,765
2006-06-25,596
2006-06-26,861
2006-06-27,1061
2006-06-28,1170
2006-06-29,1080
2006-06-30,903
2006-07-01,848
2006-07-02,671
2006-07-03,771
2006-07-04,739
2006-07-05,1187
2006-07-06,1321
2006-07-07,1149
2006-07-08,980
2006-07-09,641
2006-07-10,837
2006-07-11,1219
2006-07-12,1225
2006-07-13,1313
2006-07-14,1174
2006-07-15,862
2006-07-16,709
2006-07-17,801
2006-07-18,1107
2006-07-19,1346
2006-07-20,1295
2006-07-21,1019
2006-07-22,821
2006-07-23,607
2006-07-24,833
2006-07-25,1232
2006-07-26,1265
2006-07-27,1157
2006-07-28,1147
2006-07-29,840
2006-07-30,620
2006-07-31,712
2006-08-01,1038
2006-08-02,1107
2006-08-03,1261
2006-08-04,1196
2006-08-05,947
2006-08-06,636
2006-08-07,837
2006-08-08,1282
2006-08-09,1395
2006-08-10,1218
2006-08-11,1194
2006-08-12,978
2006-08-13,699
2006-08-14,835
2006-08-15,1199
2006-08-16,1410
2006-08-17,1251
2006-08-18,1147
2006-08-19,893
2006-08-20,705
2006-08-21,831
2006-08-22,1122
2006-08-23,1297
2006-08-24,1227
2006-08-25,1059
2006-08-26,859
2006-08-27,611
2006-08-28,735
2006-08-29,928
2006-08-30,1267
2006-08-31,1080
2006-09-01,1111
2006-09-02,756
2006-09-03,668
2006-09-04,665
2006-09-05,999
2006-09-06,1345
2006-09-07,1271
2006-09-08,1230
2006-09-09,982
2006-09-10,625
2006-09-11,709
2006-09-12,835
2006-09-13,1403
2006-09-14,1184
2006-09-15,1089
2006-09-16,970
2006-09-17,648
2006-09-18,846
2006-09-19,1057
2006-09-20,1167
2006-09-21,1195
2006-09-22,999
2006-09-23,968
2006-09-24,722
2006-09-25,884
2006-09-26,1279
2006-09-27,1397
2006-09-28,1327
2006-09-29,1161
2006-09-30,963
2006-10-01,724
2006-10-02,932
2006-10-03,1269
2006-10-04,1390
2006-10-05,1214
2006-10-06,1306
2006-10-07,1069
2006-10-08,677
2006-10-09,877
2006-10-10,1276
2006-10-11,1089
2006-10-12,1423
2006-10-13,1267
2006-10-14,953
2006-10-15,750
2006-10-16,914
2006-10-17,1075
2006-10-18,1356
2006-10-19,1242
2006-10-20,1209
2006-10-21,1007
2006-10-22,728
2006-10-23,825
2006-10-24,1217
2006-10-25,1430
2006-10-26,1304
2006-10-27,1174
2006-10-28,804
2006-10-29,656
2006-10-30,813
2006-10-31,856
2006-11-01,1387
2006-11-02,1224
2006-11-03,1240
2006-11-04,940
2006-11-05,671
2006-11-06,835
2006-11-07,928
2006-11-08,994
2006-11-09,1557
2006-11-10,1373
2006-11-11,1003
2006-11-12,671
2006-11-13,800
2006-11-14,1188
2006-11-15,1350
2006-11-16,1163
2006-11-17,1224
2006-11-18,928
2006-11-19,755
2006-11-20,899
2006-11-21,1214
2006-11-22,875
2006-11-23,250
2006-11-24,934
2006-11-25,950
2006-11-26,649
2006-11-27,831
2006-11-28,1179
2006-11-29,1141
2006-11-30,1146
2006-12-01,1078
2006-12-02,948
2006-12-03,658
2006-12-04,867
2006-12-05,1172
2006-12-06,1262
2006-12-07,1174
2006-12-08,1205
2006-12-09,925
2006-12-10,654
2006-12-11,867
2006-12-12,1268
2006-12-13,1114
2006-12-14,1076
2006-12-15,1100
2006-12-16,764
2006-12-17,675
2006-12-18,752
2006-12-19,1155
2006-12-20,1141
2006-12-21,1033
2006-12-22,849
2006-12-23,672
2006-12-24,295
2006-12-25,138
2006-12-26,756
2006-12-27,1116
2006-12-28,1106
2006-12-29,1050
2006-12-30,673
2006-12-31,400
2007-01-01,588
2007-01-02,1186
2007-01-03,1572
2007-01-04,1571
2007-01-05,1526
2007-01-06,1187
2007-01-07,742
2007-01-08,938
2007-01-09,1422
2007-01-10,1463
2007-01-11,1473
2007-01-12,1552
2007-01-13,1282
2007-01-14,814
2007-01-15,988
2007-01-16,1442
2007-01-17,1405
2007-01-18,1593
2007-01-19,1427
2007-01-20,1161
2007-01-21,752
2007-01-22,945
2007-01-23,1401
2007-01-24,1515
2007-01-25,1436
2007-01-26,1172
2007-01-27,1114
2007-01-28,808
2007-01-29,779
2007-01-30,1144
2007-01-31,1275
2007-02-01,1410
2007-02-02,1333
2007-02-03,919
2007-02-04,582
2007-02-05,738
2007-02-06,1221
2007-02-07,1513
2007-02-08,1564
2007-02-09,1399
2007-02-10,1196
2007-02-11,862
2007-02-12,1032
2007-02-13,1374
2007-02-14,623
2007-02-15,1215
2007-02-16,1184
2007-02-17,1131
2007-02-18,745
2007-02-19,889
2007-02-20,1332
2007-02-21,1626
2007-02-22,1357
2007-02-23,1221
2007-02-24,1125
2007-02-25,774
2007-02-26,834
2007-02-27,1524
2007-02-28,1488
2007-03-01,1422
2007-03-02,1299
2007-03-03,1216
2007-03-04,822
2007-03-05,936
2007-03-06,1158
2007-03-07,1330
2007-03-08,1365
2007-03-09,1417
2007-03-10,1187
2007-03-11,740
2007-03-12,1034
2007-03-13,1299
2007-03-14,1555
2007-03-15,1231
2007-03-16,706
2007-03-17,671
2007-03-18,638
2007-03-19,784
2007-03-20,1354
2007-03-21,1435
2007-03-22,1446
2007-03-23,1364
2007-03-24,1096
2007-03-25,799
2007-03-26,991
2007-03-27,1298
2007-03-28,1487
2007-03-29,1330
2007-03-30,1194
2007-03-31,1060
2007-04-01,736
2007-04-02,795
2007-04-03,1299
2007-04-04,1147
2007-04-05,1305
2007-04-06,1306
2007-04-07,969
2007-04-08,445
2007-04-09,853
2007-04-10,1248
2007-04-11,1527
2007-04-12,1174
2007-04-13,1429
2007-04-14,1129
2007-04-15,522
2007-04-16,790
2007-04-17,1366
2007-04-18,1476
2007-04-19,1525
2007-04-20,1377
2007-04-21,1044
2007-04-22,768
2007-04-23,910
2007-04-24,1232
2007-04-25,1450
2007-04-26,1502
2007-04-27,1224
2007-04-28,1061
2007-04-29,748
2007-04-30,936
2007-05-01,1294
2007-05-02,1484
2007-05-03,1501
2007-05-04,1256
2007-05-05,940
2007-05-06,763
2007-05-07,919
2007-05-08,1285
2007-05-09,1554
2007-05-10,1404
2007-05-11,1388
2007-05-12,1037
2007-05-13,609
2007-05-14,959
2007-05-15,1336
2007-05-16,1454
