date,count
2006-01-01,107
2006-01-02,105
2006-01-03,104
2006-01-04,118
2006-01-05,133
2006-01-06,126
2006-01-07,98
2006-01-08,134
2006-01-09,106
2006-01-10,149
2006-01-11,113
2006-01-12,113
2006-01-13,137
2006-01-14,118
2006-01-15,90
2006-01-16,85
2006-01-17,118
2006-01-18,126
2006-01-19,120
2006-01-20,117
2006-01-21,128
2006-01-22,121
2006-01-23,121
2006-01-24,122
2006-01-25,109
2006-01-26,119
2006-01-27,89
2006-01-28,97
2006-01-29,112
2006-01-30,88
2006-01-31,104
2006-02-01,139
2006-02-02,129
2006-02-03,118
2006-02-04,119
2006-02-05,118
2006-02-06,122
2006-02-07,133
2006-02-08,133
2006-02-09,121
2006-02-10,107
2006-02-11,104
2006-02-12,68
2006-02-13,96
2006-02-14,95
2006-02-15,144
2006-02-16,118
2006-02-17,127
2006-02-18,118
2006-02-19,101
2006-02-20,134
2006-02-21,113
2006-02-22,124
2006-02-23,85
2006-02-24,92
2006-02-25,97
2006-02-26,99
2006-02-27,99
2006-02-28,113
2006-03-01,123
2006-03-02,138
2006-03-03,130
2006-03-04,100
2006-03-05,119
2006-03-06,123
2006-03-07,120
2006-03-08,136
2006-03-09,127
2006-03-10,130
2006-03-11,149
2006-03-12,131
2006-03-13,140
2006-03-14,141
2006-03-15,151
2006-03-16,133
2006-03-17,123
2006-03-18,123
2006-03-19,121
2006-03-20,111
2006-03-21,149
2006-03-22,118
2006-03-23,140
2006-03-24,131
2006-03-25,133
2006-03-26,135
2006-03-27,125
2006-03-28,133
2006-03-29,141
2006-03-30,114
2006-03-31,109
2006-04-01,158
2006-04-02,121
2006-04-03,125
2006-04-04,159
2006-04-05,152
2006-04-06,129
2006-04-07,133
2006-04-08,119
2006-04-09,119
2006-04-10,137
2006-04-11,131
2006-04-12,155
2006-04-13,159
2006-04-14,129
2006-04-15,107
2006-04-16,75
2006-04-17,119
2006-04-18,127
2006-04-19,135
2006-04-20,141
2006-04-21,112
2006-04-22,112
2006-04-23,98
2006-04-24,129
2006-04-25,121
2006-04-26,150
2006-04-27,125
2006-04-28,112
2006-04-29,102
2006-04-30,102
2006-05-01,139
2006-05-02,143
2006-05-03,125
2006-05-04,134
2006-05-05,147
2006-05-06,140
2006-05-07,130
2006-05-08,113
2006-05-09,159
2006-05-10,144
2006-05-11,129
2006-05-12,121
2006-05-13,125
2006-05-14,100
2006-05-15,117
2006-05-16,133
2006-05-17,157
2006-05-18,135
2006-05-19,103
2006-05-20,106
2006-05-21,111
2006-05-22,122
2006-05-23,158
2006-05-24,148
2006-05-25,131
2006-05-26,115
2006-05-27,122
2006-05-28,117
2006-05-29,93
2006-05-30,143
2006-05-31,144
2006-06-01,163
2006-06-02,130
2006-06-03,120
2006-06-04,128
2006-06-05,108
2006-06-06,168
2006-06-07,139
2006-06-08,126
2006-06-09,146
2006-06-10,118
2006-06-11,132
2006-06-12,142
2006-06-13,162
2006-06-14,157
2006-06-15,140
2006-06-16,132
2006-06-17,126
2006-06-18,111
2006-06-19,133
2006-06-20,159
2006-06-21,160
2006-06-22,126
2006-06-23,118
2006-06-24,123
2006-06-25,120
2006-06-26,144
2006-06-27,143
2006-06-28,152
2006-06-29,123
2006-06-30,111
2006-07-01,129
2006-07-02,131
2006-07-03,124
2006-07-04,132
2006-07-05,158
2006-07-06,125
2006-07-07,122
2006-07-08,133
2006-07-09,117
2006-07-10,120
2006-07-11,155
2006-07-12,139
2006-07-13,161
2006-07-14,121
2006-07-15,113
2006-07-16,147
2006-07-17,124
2006-07-18,138
2006-07-19,158
2006-07-20,139
2006-07-21,111
2006-07-22,101
2006-07-23,105
2006-07-24,139
2006-07-25,146
2006-07-26,133
2006-07-27,103
2006-07-28,107
2006-07-29,122
2006-07-30,135
2006-07-31,91
2006-08-01,164
2006-08-02,147
2006-08-03,153
