date,count
2006-01-01,14
2006-01-02,29
2006-01-03,36
2006-01-04,40
2006-01-05,46
2006-01-06,40
2006-01-07,29
2006-01-08,22
2006-01-09,32
2006-01-10,55
2006-01-11,50
2006-01-12,63
2006-01-13,30
2006-01-14,19
2006-01-15,13
2006-01-16,33
2006-01-17,57
2006-01-18,51
2006-01-19,46
2006-01-20,45
2006-01-21,29
2006-01-22,23
2006-01-23,30
2006-01-24,40
2006-01-25,49
2006-01-26,47
2006-01-27,31
2006-01-28,24
2006-01-29,26
2006-01-30,37
2006-01-31,41
2006-02-01,53
2006-02-02,43
2006-02-03,25
2006-02-04,26
2006-02-05,17
2006-02-06,39
2006-02-07,43
2006-02-08,34
2006-02-09,46
2006-02-10,33
2006-02-11,24
2006-02-12,8
2006-02-13,28
2006-02-14,35
2006-02-15,59
2006-02-16,51
2006-02-17,34
2006-02-18,30
2006-02-19,13
2006-02-20,29
2006-02-21,42
2006-02-22,29
2006-02-23,42
2006-02-24,27
2006-02-25,35
2006-02-26,30
2006-02-27,44
2006-02-28,25
2006-03-01,44
2006-03-02,28
2006-03-03,37
2006-03-04,22
2006-03-05,12
2006-03-06,45
2006-03-07,38
2006-03-08,55
2006-03-09,47
2006-03-10,28
2006-03-11,32
2006-03-12,13
2006-03-13,37
2006-03-14,42
2006-03-15,52
2006-03-16,52
2006-03-17,32
2006-03-18,32
2006-03-19,20
2006-03-20,60
2006-03-21,46
2006-03-22,63
2006-03-23,44
2006-03-24,35
2006-03-25,20
2006-03-26,20
2006-03-27,34
2006-03-28,56
2006-03-29,49
2006-03-30,43
2006-03-31,38
2006-04-01,15
2006-04-02,39
2006-04-03,31
2006-04-04,56
2006-04-05,65
2006-04-06,42
2006-04-07,53
2006-04-08,27
2006-04-09,22
2006-04-10,17
2006-04-11,45
2006-04-12,47
2006-04-13,42
2006-04-14,37
2006-04-15,29
2006-04-16,15
2006-04-17,28
2006-04-18,44
2006-04-19,32
2006-04-20,57
2006-04-21,45
2006-04-22,33
2006-04-23,25
2006-04-24,38
2006-04-25,55
2006-04-26,48
2006-04-27,43
2006-04-28,60
2006-04-29,31
2006-04-30,24
2006-05-01,40
2006-05-02,57
2006-05-03,51
2006-05-04,45
2006-05-05,37
2006-05-06,18
2006-05-07,24
2006-05-08,40
2006-05-09,46
2006-05-10,64
2006-05-11,63
2006-05-12,45
2006-05-13,25
2006-05-14,14
2006-05-15,38
2006-05-16,44
2006-05-17,59
2006-05-18,58
2006-05-19,36
2006-05-20,21
2006-05-21,28
2006-05-22,31
2006-05-23,45
2006-05-24,47
2006-05-25,55
2006-05-26,34
2006-05-27,36
2006-05-28,28
2006-05-29,28
2006-05-30,52
2006-05-31,41
2006-06-01,44
2006-06-02,43
2006-06-03,35
2006-06-04,23
2006-06-05,23
2006-06-06,47
2006-06-07,53
2006-06-08,45
2006-06-09,36
2006-06-10,27
2006-06-11,35
2006-06-12,40
2006-06-13,46
2006-06-14,53
2006-06-15,55
2006-06-16,49
2006-06-17,26
2006-06-18,9
2006-06-19,47
2006-06-20,58
2006-06-21,48
2006-06-22,71
2006-06-23,32
2006-06-24,37
2006-06-25,18
2006-06-26,44
2006-06-27,51
2006-06-28,43
2006-06-29,27
2006-06-30,24
2006-07-01,28
2006-07-02,25
2006-07-03,34
2006-07-04,23
2006-07-05,32
2006-07-06,52
2006-07-07,45
2006-07-08,22
2006-07-09,20
2006-07-10,49
2006-07-11,40
2006-07-12,48
2006-07-13,40
2006-07-14,40
2006-07-15,32
2006-07-16,17
2006-07-17,31
2006-07-18,41
2006-07-19,66
2006-07-20,41
2006-07-21,32
2006-07-22,46
2006-07-23,18
2006-07-24,39
2006-07-25,48
2006-07-26,53
2006-07-27,61
2006-07-28,58
2006-07-29,35
2006-07-30,26
2006-07-31,46
2006-08-01,41
2006-08-02,39
2006-08-03,50
2006-08-04,35
2006-08-05,28
2006-08-06,21
2006-08-07,27
2006-08-08,56
2006-08-09,54
2006-08-10,42
2006-08-11,57
2006-08-12,31
2006-08-13,22
2006-08-14,43
2006-08-15,53
2006-08-16,43
2006-08-17,38
2006-08-18,28
2006-08-19,32
2006-08-20,17
2006-08-21,30
2006-08-22,43
2006-08-23,38
2006-08-24,31
2006-08-25,60
2006-08-26,30
2006-08-27,21
2006-08-28,33
2006-08-29,36
2006-08-30,49
2006-08-31,41
2006-09-01,39
2006-09-02,21
2006-09-03,32
2006-09-04,21
2006-09-05,41
2006-09-06,53
2006-09-07,50
2006-09-08,27
2006-09-09,33
2006-09-10,20
2006-09-11,33
2006-09-12,33
2006-09-13,46
2006-09-14,42
2006-09-15,34
2006-09-16,49
2006-09-17,19
2006-09-18,37
2006-09-19,43
2006-09-20,51
2006-09-21,35
2006-09-22,40
2006-09-23,29
2006-09-24,21
2006-09-25,40
2006-09-26,50
2006-09-27,42
2006-09-28,60
2006-09-29,33
2006-09-30,36
2006-10-01,21
2006-10-02,53
2006-10-03,48
2006-10-04,51
2006-10-05,69
2006-10-06,44
2006-10-07,28
2006-10-08,27
2006-10-09,26
2006-10-10,55
2006-10-11,68
2006-10-12,55
2006-10-13,43
2006-10-14,23
2006-10-15,17
2006-10-16,39
2006-10-17,43
2006-10-18,35
2006-10-19,54
2006-10-20,56
2006-10-21,29
2006-10-22,18
2006-10-23,44
2006-10-24,42
2006-10-25,61
2006-10-26,43
2006-10-27,26
2006-10-28,38
2006-10-29,36
2006-10-30,42
2006-10-31,41
2006-11-01,52
2006-11-02,50
2006-11-03,44
2006-11-04,24
2006-11-05,26
2006-11-06,44
2006-11-07,43
2006-11-08,45
2006-11-09,55
2006-11-10,49
2006-11-11,33
2006-11-12,16
2006-11-13,24
2006-11-14,49
2006-11-15,48
2006-11-16,53
2006-11-17,43
2006-11-18,24
2006-11-19,19
2006-11-20,42
2006-11-21,50
2006-11-22,30
2006-11-23,9
2006-11-24,40
2006-11-25,23
2006-11-26,22
2006-11-27,53
2006-11-28,51
2006-11-29,48
2006-11-30,64
2006-12-01,43
2006-12-02,34
2006-12-03,28
2006-12-04,47
2006-12-05,78
2006-12-06,63
2006-12-07,35
2006-12-08,45
2006-12-09,29
2006-12-10,18
2006-12-11,47
2006-12-12,62
2006-12-13,42
2006-12-14,39
2006-12-15,51
2006-12-16,22
2006-12-17,26
2006-12-18,36
2006-12-19,53
2006-12-20,38
2006-12-21,45
2006-12-22,29
2006-12-23,27
2006-12-24,18
2006-12-25,10
2006-12-26,43
2006-12-27,42
2006-12-28,42
2006-12-29,35
2006-12-30,14
2006-12-31,14
2007-01-01,19
2007-01-02,57
2007-01-03,58
2007-01-04,43
2007-01-05,50
2007-01-06,34
2007-01-07,29
2007-01-08,31
2007-01-09,50
2007-01-10,53
2007-01-11,57
2007-01-12,45
2007-01-13,33
2007-01-14,30
2007-01-15,35
2007-01-16,66
2007-01-17,36
2007-01-18,59
2007-01-19,46
2007-01-20,31
2007-01-21,26
2007-01-22,33
2007-01-23,50
2007-01-24,56
2007-01-25,54
2007-01-26,35
2007-01-27,38
2007-01-28,26
2007-01-29,36
2007-01-30,47
2007-01-31,55
2007-02-01,50
2007-02-02,53
2007-02-03,34
2007-02-04,26
2007-02-05,21
2007-02-06,39
2007-02-07,44
2007-02-08,52
2007-02-09,40
2007-02-10,20
2007-02-11,28
2007-02-12,30
2007-02-13,50
2007-02-14,22
2007-02-15,34
2007-02-16,40
2007-02-17,20
2007-02-18,22
2007-02-19,30
2007-02-20,49
2007-02-21,59
2007-02-22,49
2007-02-23,37
2007-02-24,25
2007-02-25,19
2007-02-26,33
2007-02-27,54
2007-02-28,52
2007-03-01,40
2007-03-02,36
2007-03-03,30
2007-03-04,12
2007-03-05,41
2007-03-06,45
2007-03-07,32
2007-03-08,39
2007-03-09,50
2007-03-10,26
2007-03-11,22
2007-03-12,38
2007-03-13,32
2007-03-14,50
2007-03-15,45
2007-03-16,23
2007-03-17,20
2007-03-18,23
2007-03-19,35
2007-03-20,49
2007-03-21,41
2007-03-22,40
2007-03-23,35
2007-03-24,22
2007-03-25,31
2007-03-26,33
2007-03-27,38
2007-03-28,45
2007-03-29,59
2007-03-30,35
2007-03-31,41
2007-04-01,31
2007-04-02,21
2007-04-03,51
2007-04-04,23
2007-04-05,53
2007-04-06,55
2007-04-07,32
2007-04-08,12
2007-04-09,40
2007-04-10,33
2007-04-11,55
2007-04-12,45
2007-04-13,28
2007-04-14,17
2007-04-15,13
2007-04-16,43
2007-04-17,67
2007-04-18,40
2007-04-19,68
2007-04-20,37
2007-04-21,26
2007-04-22,24
